,link,enum,tags,Duration,Views,Posted On,Director,Writer,Studio,Release,Cast,Song1,Artist1,Song2,Artist2,Song3,Artist3,Song4,Artist4,Song5,Artist5,Song6,Artist6
2663,/tinker-tailor-soldier-spy/trailer,2663,Optimum Releasing|Focus Features|Drama|International|Gary Oldman|Ciarán Hinds|Jared Harris|Colin Firth|Tom Hardy|Benedict Cumberbatch|Mark Strong|Svetlana Khodchenkova|Simon McBurney,2 min 7 sec,"479,172",27-Sep-11,Tomas Alfredson,John le Carré,Focus Features,18-Nov-11,Gary Oldman;Ciaran Hinds;Jared Harris;Colin Firth;Tom Hardy,Black Cauldron,Audiomachine,,,,,,,,,,
2686,/the-vow/feature-trailer,2686,Sony Screen Gems|Drama|Romance|Rachel McAdams|Channing Tatum,2 min 34 sec,"425,655",19-Nov-11,Michael Sucsy,Michael Sucsy,Screen Gems,10-Feb-12,Rachel McAdams;Channing Tatum;Scott Speedman;Jessica McNamee;Jessica Lange,Enchanted,Taylor Swift,,,,,,,,,,
2692,/this-means-war/trailer,2692,20th Century Fox|Action|Adventure|Comedy|Reese Witherspoon|Chris Pine|Tom Hardy|Chelsea Handler|Til Schweiger|Abigail Spencer,2 min 31 sec,"621,384",13-Oct-11,McG,Timothy Dowling,20th Century Fox,14-Feb-12,Reese Witherspoon;Chris Pine;Tom Hardy;Chelsea Handler;Til Schweiger,Woman,Wolfmother,,,,,,,,,,
2698,/project-x/feature-trailer,2698,Warner Bros. Pictures|Comedy|Thomas Mann|Miles Teller|Jonathan Daniel Brown|Oliver Cooper,2 min 29 sec,"2,934,003",19-Jan-12,Nima Nourizadeh,Matt Drake,Warner Bros Pictures,2-Mar-12,Miles Teller;Oliver Cooper;Jonathan Daniel Brown;Kirby Bliss Blanton;Dax Flame,Pusuit of Happiness (Steve Aoki Remix),Kid Cudi,,,,,,,,,,
2699,/project-x/trailer,2699,Warner Bros. Pictures|Comedy|Thomas Mann|Miles Teller,1 min 38 sec,"856,062",2-Nov-11,Nima Nourizadeh,Matt Drake,Warner Bros Pictures,2-Mar-12,Miles Teller;Oliver Cooper;Jonathan Daniel Brown;Kirby Bliss Blanton;Dax Flame,Pusuit of Happiness (Steve Aoki Remix),Kid Cudi,,,,,,,,,,
2712,/wrath-of-the-titans/trailer,2712,Warner Bros. Pictures|Franchise/Epic/Trilogy|Action|Adventure|Fantasy|Sam Worthington|Ralph Fiennes|Liam Neeson|Danny Huston|Édgar Ramírez|Bill Nighy|Toby Kebbell|Rosamund Pike,2 min 3 sec,"889,545",19-Dec-11,Jonathan Liebesman,Dan Mazeau,Warner Bros Pictures,30-Mar-12,Sam Worthington;Ralph Fiennes;Liam Neeson;Danny Huston;Edgar Ramirez,Sweet Dreams (Are Made Of This),Marilyn Manson,,,,,,,,,,
2727,/the-avengers/feature-trailer,2727,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo|Clark Gregg",2 min 25 sec,"2,480,594",29-Feb-12,Joss Whedon,Zak Penn,Paramount Pictures,4-May-12,Robert Downey Jr.;Chris Evans;Chris Hemsworth;Don Cheadle;Jeremy Renner,Prince of Darkness,City of the Fallen,,,,,,,,,,
2728,/the-avengers/trailer,2728,"Paramount Pictures|Marvel Studios|Action|Adventure|Comicbook|Samuel L. Jackson|Robert Downey, Jr.|Chris Evans|Chris Hemsworth|Jeremy Renner|Scarlett Johansson|Tom Hiddleston|Mark Ruffalo",2 min 3 sec,"2,174,435",11-Oct-11,Joss Whedon,Zak Penn,Paramount Pictures,4-May-12,Robert Downey Jr.;Chris Evans;Chris Hemsworth;Don Cheadle;Jeremy Renner,We're In This Together,Nine Inch Nails,,,,,,,,,,
2741,/snow-white-and-the-huntsman/trailer,2741,Universal Pictures|Action|Adventure|Book|Fantasy|Kristen Stewart|Charlize Theron|Chris Hemsworth|Sam Claflin,1 min 53 sec,"5,206,876",10-Nov-11,Rupert Sanders,Evan Daugherty,Universal Pictures,1-Jun-12,Kristen Stewart;Charlize Theron;Chris Hemsworth;Sam Claflin;Ray Winstone,World Collapsing,Danny Cocke,,,,,,,,,,
2742,/madagascar-3/feature-trailer,2742,Dreamworks Animation|CG Animation|Adventure|Comedy|Family|Franchise/Epic/Trilogy|Ben Stiller|Chris Rock|David Schwimmer|Jada Pinkett Smith|Sacha Baron Cohen,2 min 32 sec,"604,459",20-Mar-12,Eric Darnell,Noah Baumbach,DreamWorks Animation,8-Jun-12,Ben Stiller;Chris Rock;David Schwimmer;Jada Pinkett Smith;Sacha Baron Cohen,Sexy and I Know It,LMFAO,,,,,,,,,,
2746,/rock-of-ages/feature-trailer,2746,Warner Bros. Pictures|Musical|Tom Cruise|Malin Akerman|Catherine Zeta-Jones|Alec Baldwin|Paul Giamatti|Russell Brand|Julianne Hough|Diego Boneta|Mary J. Blige|Musical/Broadway/Play,2 min 30 sec,"1,696,161",2-Apr-12,Adam Shankman,Chris D'Arienzo,Warner Bros Pictures,1-Jun-12,Anne Hathaway;Tom Cruise;Russell Brand;Alec Baldwin;Mary J. Blige,Any Way You Want It,Journey,Pour Some Sugar on Me,Def Leppard,Heaven Isn't too far Away,Warrant,Hit Me With Your Best Shot,Pat Benatar,Just like living in Paradise,David Lee Roth,Wanted Dead or Alive,Bon Jovi
2760,/spider-man-2012/feature-trailer,2760,Columbia Pictures|Franchise/Epic/Trilogy|Action|Adventure|Fantasy|Comicbook|Andrew Garfield|Emma Stone|Rhys Ifans|Denis Leary|Campbell Scott|Irrfan Khan|Martin Sheen|Sally Field,2 min 34 sec,"2,894,974",7-Feb-12,Marc Webb,James Vanderbilt,Columbia Pictures,3-Jul-12,Andrew Garfield;Emma Stone;Rhys Ifans;Denis Leary;Campbell Scott,Aurora,PostHaste Music,,,,,,,,,,
2768,/neighborhood-watch/trailer,2768,20th Century Fox|Comedy|Sci Fi|Jonah Hill|Ben Stiller|Vince Vaughn|Richard Ayoade|R. Lee Ermey,2 min 15 sec,"899,736",23-May-12,Akiva Schaffer,Seth Rogen,20th Century Fox,27-Jul-12,Ben Stiller;Vince Vaughn;Rosemarie DeWitt;Jonah Hill;Richard Ayoade,Unison (Knife Party Remix),Porter Robinson,,,,,,,,,,
2782,/paranorman/teaser-trailer,2782,Focus Features|CG Animation|Comedy|Thriller|Teaser|Stop Motion Animation,1 min 32 sec,"182,977",28-Oct-11,Sam Fell,Chris Butler,Focus Features,17-Aug-12,Kodi Smit-McPhee;Casey Affleck;Tempestt Bledsoe;Jeff Garlin;John Goodman,Season of the Witch,Donovan,,,,,,,,,,
2804,/trouble-with-the-curve/trailer,2804,Warner Bros. Pictures|Drama|Sport|Clint Eastwood|Amy Adams|Justin Timberlake|John Goodman|Robert Patrick|Matthew Lillard|Scott Eastwood|Joe Massingill,2 min 30 sec,"1,097,778",8-Aug-12,Robert Lorenz,Randy Brown,Warner Bros Pictures,21-Sep-12,Clint Eastwood;Amy Adams;Justin Timberlake;John Goodman;Robert Patrick,Home,Phillip Phillips,,,,,,,,,,
2810,/wont-back-down/trailer,2810,20th Century Fox|Drama|Maggie Gyllenhaal|Viola Davis|Oscar Isaac|Holly Hunter|Rosie Perez|Lance Reddick|Emily Alyn Lind,2 min 32 sec,"97,858",19-May-12,Daniel Barnz,Brin Hill,20th Century Fox,28-Sep-12,Maggie Gyllenhaal;Viola Davis;Oscar Isaac;Holly Hunter;Rosie Perez,Stronger,Kelly Clarkson,,,,,,,,,,
2815,/argo/trailer,2815,Warner Bros. Pictures|Drama|Thriller|Ben Affleck|Alan Arkin|Bryan Cranston|John Goodman|Kerry Bishé|Kyle Chandler|Rory Cochrane|Christopher Denham|Tate Donovan|Clea DuVall|Victor Garber,2 min 33 sec,"902,431",8-May-12,Ben Affleck,Chris Terrio,Warner Bros Pictures,12-Oct-12,Ben Affleck;Alan Arkin;Bryan Cranston;John Goodman;Kerry Bishe,Dream On,Aerosmith,,,,,,,,,,
2818,/here-comes-the-boom/trailer,2818,Columbia Pictures|Comedy|Kevin James|Salma Hayek|Henry Winkler|Greg Germann,2 min 33 sec,"838,461",26-Jun-12,Frank Coraci,Allan Loeb,Columbia Pictures,12-Oct-12,Kevin James;Salma Hayek;Henry Winkler,Vox Populi,30 Seconds to Mars,,,,,,,,,,
2829,/cloud-atlas/trailer,2829,Warner Bros. Pictures|Drama|Fantasy|Sci Fi|Book|Tom Hanks|Halle Berry|Jim Broadbent|Hugo Weaving|Jim Sturgess|Doona Bae|Ben Whishaw|James D'Arcy|Xun Zhou|Keith David|David Gyasi|Susan Sarandon|Hugh Grant,5 min 42 sec,"1,813,588",26-Jul-12,Tom Tykwer,Tom Tykwer,Warner Bros Pictures,26-Oct-12,Tom Hanks;Halle Berry;Jim Broadbent;Hugo Weaving;Jim Sturgess,Outro,M83,,,,,,,,,,
2833,/flight-2012/trailer,2833,Paramount Pictures|Drama|Denzel Washington|Kelly Reilly|Don Cheadle|Bruce Greenwood|Brian Geraghty|John Goodman|Tamara Tunie,2 min 29 sec,"1,495,956",6-Jun-12,Robert Zemeckis,John Gatins,Paramount Pictures,2-Nov-12,Denzel Washington;Kelly Reilly;Don Cheadle;Bruce Greenwood;Brian Geraghty,Gimme Shelter,The Rolling Stones,,,,,,,,,,
2835,/wreck-it-ralph/feature-trailer,2835,Walt Disney Pictures|CG Animation|Comedy|Adventure|John C. Reilly|Sarah Silverman|Jack McBrayer|Jane Lynch|Alan Tudyk|Ed O'Neill|Mindy Kaling|Adam Carolla|Horatio Sanz|Dennis Haysbert|Edie McClurg|Roger Craig Smith|Gerald C. Rivers|Rachael Harris|Stefanie Scott|Reuben Langdon|Kyle Hebert,2 min 32 sec,"1,349,136",12-Sep-12,Rich Moore,Unknown or Not Available,Walt Disney Pictures,2-Nov-12,John C. Reilly;Sarah Silverman;Jack McBrayer;Jane Lynch;Alan Tudyk,Some Nights,Fun,Funky Town,Lipps Inc,,,,,,,,
2836,/wreck-it-ralph/trailer,2836,Walt Disney Pictures|CG Animation|Comedy|Adventure|John C. Reilly|Sarah Silverman|Jack McBrayer|Jane Lynch,2 min 29 sec,"975,227",6-Jun-12,Rich Moore,Unknown or Not Available,Walt Disney Pictures,2-Nov-12,John C. Reilly;Sarah Silverman;Jack McBrayer;Jane Lynch;Alan Tudyk,Good Feeling,Flo Rida,,,,,,,,,,
2844,/life-of-pi/trailer,2844,20th Century Fox|Adventure|Drama|Book|Suraj Sharma,2 min 17 sec,"855,188",25-Jul-12,Ang Lee,Yann Martel,20th Century Fox,21-Nov-12,Suraj Sharma;Gérard Depardieu;Irrfan Khan;Tabu,Prologue & Birth,Audiomachine,,,,,,,,,,
2854,/the-hobbit/trailer,2854,New Line Cinema|Fantasy|Adventure|Book|Franchise/Epic/Trilogy|Andy Serkis|Ian McKellen|Martin Freeman|Richard Armitage|Robert Kazinsky|Aidan Turner|Graham McTavish|John Callen|Stephen Hunter|Mark Hadlow|Peter Hambleton|James Nesbitt|Adam Brown|Cate Blanchett|Ken Stott|Sylvester McCoy|Mikael Persbrandt|Ryan Gage|Jed Brophy|William Kircher|Saoirse Ronan|Elijah Wood,2 min 31 sec,"1,574,743",20-Dec-11,Peter Jackson,Fran Walsh,Warner Bros Pictures,19-Dec-12,Andy Serkis;Ian McKellen;Martin Freeman;Richard Armitage;Rob Kazinsky,Misty Mountains,Howard Shore,,,,,,,,,,
2859,/this-is-40/trailer,2859,Universal Pictures|Comedy|Paul Rudd|Leslie Mann|Melissa McCarthy|Jason Segel|Annie Mumolo,1 min 54 sec,"631,609",27-Apr-12,Judd Apatow,Judd Apatow,Universal Pictures,21-Dec-12,Paul Rudd;Leslie Mann;Megan Fox;John Lithgow;Iris Apatow,We Are Young,Fun,,,,,,,,,,
2864,/parental-guidance/trailer,2864,20th Century Fox|Family|Comedy|Billy Crystal|Bette Midler|Marisa Tomei|Bailee Madison,2 min 16 sec,"85,506",10-Sep-12,Andy Fickman,Joe Syracuse,20th Century Fox,25-Dec-12,Billy Crystal;Bette Midler;Marisa Tomei;Bailee Madison,Feel So Close,Calvin Harris,,,,,,,,,,
2869,/the-impossible/trailer,2869,Summit Entertainment|Action|Drama|Ewan McGregor|Naomi Watts|Tom Holland,2 min 32 sec,"1,134,484",20-Aug-12,Juan Antonio Bayona,Sergio G. Sánchez,Summit Entertainment,2012,Ewan McGregor;Naomi Watts;Tom Holland;Geraldine Chaplin,One,U2,,,,,,,,,,
2871,/the-gangster-squad/feature-trailer,2871,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,2 min 43 sec,"1,098,367",11-Jan-13,Ruben Fleischer,Will Beall,Warner Bros Pictures,11-Jan-13,Sean Penn;Ryan Gosling;Josh Brolin;Anthony Mackie;Michael Peña,Oh My God,Jay Z,,,,,,,,,,
2872,/the-gangster-squad/trailer,2872,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,2 min 33 sec,"1,188,989",9-May-12,Ruben Fleischer,Will Beall,Warner Bros Pictures,11-Jan-13,Sean Penn;Ryan Gosling;Josh Brolin;Anthony Mackie;Michael Peña,Oh My God,Jay Z,,,,,,,,,,
2887,/warm-bodies/trailer,2887,Summit Entertainment|Drama|Horror|Romance|Nicholas Hoult|Teresa Palmer|Rob Corddry|John Malkovich|Analeigh Tipton|Dave Franco|Cory Hardict,2 min 32 sec,"284,197",10-Nov-12,Jonathan Levine,Jonathan Levine,Summit Entertainment,1-Feb-13,Nicholas Hoult;Teresa Palmer;Rob Corddry;John Malkovich;Analeigh Tipton,Lonely Boy,The Black Keys,,,,,,,,,,
2901,/jack-the-giant-killer/feature-trailer,2901,New Line Cinema|Warner Bros. Pictures|Book|Fantasy|Action|Adventure|Nicholas Hoult|Eleanor Tomlinson|Stanley Tucci|Ewan McGregor|Ian Mcshane|Raine McCormack|Eddie Marson|Ewen Bremner,2 min 26 sec,"1,661,764",21-Nov-12,Bryan Singer,Darren Lemke,New Line Cinema,1-Mar-13,Nicholas Hoult;Eleanor Tomlinson;Stanley Tucci;Ian McShane;Bill Nighy,Fire and Honor,Audiomachine,Veni Vidi Vici,Audiomachine,The Messenger,X-Ray Dog,,,,,,
2916,/the-croods/trailer,2916,Dreamworks Animation|CG Animation|Animation|Adventure|Comedy|Family|Nicolas Cage|Ryan Reynolds|Emma Stone|Catherine Keener|Clark Duke|Cloris Leachman,2 min 22 sec,"1,937,869",3-Oct-12,Kirk De Micco,Kirk De Micco,DreamWorks Animation,22-Mar-12,Nicolas Cage;Ryan Reynolds;Emma Stone;Catherine Keener;Clark Duke,Ocean Dreams,PostHaste Music,Lexicon,PostHaste Music,,,,,,,,
2918,/gi-joe-2-retaliation/trailer,2918,Paramount Pictures|Action|Adventure|Cartoon|Franchise/Epic/Trilogy|Channing Tatum|Ray Park|Dwayne Johnson|Bruce Willis|Elodie Yung|RZA|D.J. Cotrona|Adrianne Palicki|Ray Stevenson|Joseph Mazzello|Walton Goggins|DeRay Davis,2 min 28 sec,"1,129,262",12-Dec-11,Jon M. Chu,Rhett Reese,Paramount Pictures,28-Mar-13,Channing Tatum;Ray Park;Dwayne Johnson;Bruce Willis;Elodie Yung,Seven Nation Army,The White Stripes,,,,,,,,,,
2919,/the-host-2013/trailer,2919,Open Road Films|Sci Fi|Thriller|Book|Saoirse Ronan|Max Irons|Jake Abel|Diane Kruger|William Hurt|Frances Fisher,2 min 18 sec,"949,806",13-Nov-12,Andrew Niccol,Andrew Niccol,Open Road Films,29-Mar-13,Saoirse Ronan;Max Irons;Jake Abel;Diane Kruger;William Hurt,Radioactive,Imagine Dragons,,,,,,,,,,
2943,/the-great-gatsby/feature-trailer,2943,Warner Bros. Pictures|Drama|Romance|Book|Leonardo DiCaprio|Tobey Maguire|Joel Edgerton|Carey Mulligan|Isla Fisher|Jason Clarke|Elizabeth Debicki|Amitabh Bachchan,2 min 34 sec,"1,584,555",20-Dec-12,Baz Luhrmann,Baz Luhrmann,Warner Bros Pictures,10-May-13,Leonardo DiCaprio;Tobey Maguire;Joel Edgerton;Carey Mulligan;Isla Fisher,Happy Together,Filter,,,,,,,,,,
2948,/the-hangover-part-iii/trailer,2948,Warner Bros. Pictures|Comedy|Franchise/Epic/Trilogy|Bradley Cooper|Ed Helms|Zach Galifianakis|Ken Jeong|Heather Graham|Melissa McCarthy|John Goodman,2 min 1 sec,"1,388,389",7-Mar-13,Todd Phillips,Todd Phillips,Warner Bros Pictures,24-May-13,Bradley Cooper;Ed Helms;Zach Galifianakis;Ken Jeong;Heather Graham,Apple Tree,Wolfmother,Apple Tree,Wolfmother,,,,,,,,
2949,/epic-2013/feature-trailer,2949,20th Century Fox|CG Animation|Adventure|Action|Josh Hutcherson|Amanda Seyfried|Aziz Ansari|Colin Farrell|Christoph Waltz|Jason Sudeikis,2 min 13 sec,"1,082,296",21-Nov-12,Chris Wedge,Tom J. Astle,20th Century Fox,24-May-13,Beyonce Knowles;Colin Farrell;Josh Hutcherson;Amanda Seyfried;Johnny Knoxville,The Lightning Strike,Snow Patrol,,,,,,,,,,
2950,/epic-2013/trailer,2950,20th Century Fox|CG Animation|Adventure|Action|Teaser|Josh Hutcherson|Amanda Seyfried|Aziz Ansari,2 min 11 sec,"550,182",26-Jun-12,Chris Wedge,Tom J. Astle,20th Century Fox,24-May-13,Beyonce Knowles;Colin Farrell;Josh Hutcherson;Amanda Seyfried;Johnny Knoxville,The Lightning Strike,Snow Patrol,,,,,,,,,,
2963,/man-of-steel/teaser-trailer,2963,Warner Bros. Pictures|Action|Adventure|Behind the Scenes|Comicbook|Fantasy|Franchise/Epic/Trilogy|Henry Cavill|Teaser,1 min 35 sec,"504,397",21-Jul-12,Zack Snyder,David Goyer,Warner Bros Pictures,14-Jun-13,Henry Cavill;Amy Adams;Diane Lane;Kevin Costner;Michael Shannon,The Bridge Of Khazad Dum,Howard Shore,,,,,,,,,,
2977,/grown-ups-2/trailer,2977,Sony Pictures|Comedy|Franchise/Epic/Trilogy|Adam Sandler|Kevin James|Chris Rock|David Spade|Salma Hayek|Maya Rudolph|Maria Bello|Nick Swardson|Taylor Lautner|Milo Ventimiglia|Andy Samberg|Will Forte|Shaquille O'Neal,2 min 10 sec,"900,529",2-Apr-13,Dennis Dugan,Fred Wolf,Sony Pictures,12-Jul-13,Adam Sandler;Kevin James;Chris Rock;David Spade;Salma Hayek,Nothin But a Good Time,Poison,,,,,,,,,,
3003,/jobs/feature-trailer,3003,Open Road Films|Biopic|Drama|Ashton Kutcher|Dermot Mulroney|Josh Gad|Lukas Haas|J.K. Simmons|Matthew Modine,1 min 38 sec,"544,096",5-Aug-13,Joshua Michael Stern,Matt Whiteley,Open Road Films,16-Apr-13,Ashton Kutcher;Dermot Mulroney;Josh Gad;Lukas Haas;J.K. Simmons,Teenage Wasteland,The Who,,,,,,,,,,
3009,/mortal-instruments-city-bones/trailer,3009,Sony Screen Gems|Action|Adventure|Supernatural|Fantasy|Book|Teaser|Lily Collins|Jaime Campbell Bower|Robert Sheehan|Jemima West|Kevin Segers|Jonathan Rhys Meyers|Jared Harris|Aidan Turner|CCH Pounder,1 min 46 sec,"1,492,941",15-Nov-12,Harald Zwart,Jessica Postigo,Screen Gems,23-Aug-13,Lily Collins;Jaime Campbell Bower;Robert Sheehan;Jemima West;Kevin Segers,Sunshine (OST),John Murphy,,,,,,,,,,
3023,/the-family/trailer,3023,Relativity Media|Crime|Comedy|Action|Robert De Niro|Michelle Pfeiffer|Tommy Lee Jones|Dianna Agron|John D'Leo|Vincent Pastore,2 min 30 sec,"716,504",5-Jun-13,Luc Besson,Luc Besson,Relativity Media,20-Sep-13,Robert De Niro;Michelle Pfeiffer;Tommy Lee Jones;Dianna Agron;John D'Leo,Can't You Hear Me Knocking,Rolling Stones,Feeling Good,Muse,,,,,,,,
3061,/12-years-a-slave/trailer,3061,Fox Searchlight|Drama|Biopic|Chiwetel Ejiofor|Michael Fassbender|Benedict Cumberbatch|Paul Dano|Paul Giamatti|Lupita Nyong'o|Sarah Paulson|Brad Pitt|Alfre Woodard|Scoot McNairy,2 min 29 sec,"1,513,164",15-Jul-13,Steve McQueen,John Ridley,Fox Searchlight,18-Oct-13,Chiwetel Ejiofor;Michael Fassbender;Benedict Cumberbatch;Paul Dano;Paul Giamatti,Solomon,Hans Zimmer,,,,,,,,,,
3100,/the-secret-life-of-walter-mitty/trailer,3100,20th Century Fox|Adventure|Comedy|Drama|Ben Stiller|Kristen Wiig|Shirley MacLaine|Adam Scott|Kathryn Hahn|Sean Penn,2 min 2 sec,"799,301",30-Jul-13,Ben Stiller,Steve Conrad,20th Century Fox,25-Dec-13,Ben Stiller;Kristen Wiig;Shirley MacLaine;Adam Scott;Kathryn Hahn,Dirty Paws,Of Monsters and Men,,,,,,,,,,
3102,/the-wolf-of-wall-street/trailer,3102,Paramount Pictures|Biopic|Crime|Drama|Book|Leonardo DiCaprio|Jonah Hill|Margot Robbie|Matthew McConaughey|Kyle Chandler|Rob Rreiner|Jean Dujardin|P.J. Byrne,2 min 13 sec,"701,311",17-Jun-13,Martin Scorsese,Jordan Belfort,Paramount Pictures,25-Dec-13,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey;Jon Favreau,Black Skinhead,Kanye West,,,,,,,,,,
3104,/august-osage-county/feature-trailer,3104,The Weinstein Company|Musical/Broadway/Play|Comedy|Drama|Meryl Streep|Julia Roberts|Ewan McGregor|Benedict Cumberbatch|Margo Martindale|Chris Cooper|Sam Shepard|Misty Upham|Juliette Lewis|Abigail Breslin|Dermot Mulroney|Julianne Nicholson|Newell Alexander,2 min 26 sec,"960,043",13-Sep-13,John Wells,Tracy Letts,The Weinstein Company,8-Nov-13,Meryl Streep;Julia Roberts;Ewan McGregor;Benedict Cumberbatch;Margo Martindale,Stubborn Love,The Lumineers,,,,,,,,,,
3118,/ride-along/teaser-trailer,3118,Universal Pictures|Action|Comedy|Teaser|Ice Cube|Kevin Hart|Tika Sumpter|Bryan Callen,1 min 46 sec,"717,172",1-Jul-13,Tim Story,Greg Coolidge,Universal Pictures,17-Jan-14,Ice Cube;Kevin Hart;John Leguizamo;Bruce McGill;Tika Sumpter,Sound of da Police,Krs-One,,,,,,,,,,
3130,/the-monuments-men/trailer,3130,Columbia Pictures|Book|Drama|War|George Clooney|Cate Blanchett|Bill Murray|John Goodman|Jean Dujardin|Bob Balaban|Hugh Bonneville|Matt Damon,1 min 47 sec,"787,883",8-Aug-13,George Clooney,George Clooney,Columbia Pictures,18-Dec-13,George Clooney Matt Damon;Cate Blanchett;Bill Murray;John Goodman;Jean Dujardin,Kiss the Sky,Shawn Lee's Ping Pong Orchestra Vs. Nino Moschella,,,,,,,,,,
3133,/robocop-2013/trailer,3133,Columbia Pictures|Metro Goldwyn Mayer (MGM)|Action|Sci Fi|Remake|Gary Oldman|Michael Keaton|Abbie Cornish|Jay Baruchel|Joel Kinnaman|Samuel L. Jackson|Aimee Garcia|Jackie Earle Haley,2 min 16 sec,"1,250,309",5-Sep-13,Jose Padilha,Michael Miner,MGM,12-Feb-14,Joel Kinnaman;Gary Oldman;Samuel L. Jackson;Hugh Laurie;Abbie Cornish,Crimson Shade,Position Music,Catastrophic,Position Music,,,,,,,,
3136,/3-days-to-kill/trailer,3136,Relativity Media|Thriller|Action|Kevin Costner|Amber Heard|Hailee Steinfeld|Connie Nielsen,2 min 32 sec,"899,390",18-Dec-13,McG,Luc Besson,Relativity Media,21-Feb-14,Kevin Costner;Amber Heard;Hailee Steinfeld;Connie Nielsen,Problem,Natalia Kills,,,,,,,,,,
3142,/300-rise-of-an-empire/trailer,3142,Warner Bros. Pictures|Action|Adventure|Franchise/Epic/Trilogy|Comicbook|Sullivan Stapleton|Eva Green|Lena Headey|Hans Matheson|David Wenham|Rodrigo Santoro,2 min 27 sec,"876,661",12-Jun-13,Noam Murro,Zack Snyder,Warner Bros Pictures,7-Mar-14,Sullivan Stapleton;Eva Green;Lena Headey;Hans Matheson;David Wenham,Imperatrix Mundi,Position Music,,,,,,,,,,
3143,/mr-peabody-sherman/feature-trailer,3143,Dreamworks Animation|20th Century Fox|CG Animation|Adventure|Family|Comedy|Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Patrick Warburton|Stephen Colbert,2 min 32 sec,"245,440",15-Jan-14,Rob Minkoff,Craig Wright,20th Century Fox,7-Mar-14,Ty Burrell;Max Charles;Ariel Winter;Allison Janney;Stephen Colbert,Pompeii,Bastille,,,,,,,,,,
3144,/mr-peabody-sherman/trailer,3144,Dreamworks Animation|20th Century Fox|CG Animation|Adventure|Family|Comedy|Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Stephen Colbert|Leslie Mann|Stanley Tucci|Patrick Warburton|Lake Bell|Zach Callison|Dennis Haysbert,2 min 31 sec,"823,968",25-Oct-13,Rob Minkoff,Craig Wright,20th Century Fox,7-Mar-14,Ty Burrell;Max Charles;Ariel Winter;Allison Janney;Stephen Colbert,Pompeii,Bastille,,,,,,,,,,
3145,/need-for-speed/feature-trailer,3145,DreamWorks Pictures|Action|Aaron Paul|Imogen Poots|Dominic Cooper|Ramon Rodriguez|Rami Malek|Harrison Gilbertson|Kid Cudi|Michael Keaton|Dakota Johnson,2 min 31 sec,"1,629,716",18-Nov-13,Scott Waugh,George Gatins,DreamWorks Pictures,14-Mar-14,Aaron Paul;Imogen Poots;Dominic Cooper;Ramon Rodriguez;Rami Malek,Butterflies and Hurricanes,Muse,,,,,,,,,,
3175,/brick-mansions/feature-trailer,3175,Relativity Media|Action|Crime|Remake|Paul Walker|RZA|David Belle|Carlo Rota|Kalinka Petrie|Bruce Ramsay,2 min 5 sec,"753,302",21-Mar-14,Camille Delamarre,Luc Besson,Relativity Media,25-Apr-14,Paul Walker;RZA;David Belle;Carlo Rota;Kalinka Petrie,Stand by Me,Ki:Theory,,,,,,,,,,
3189,/godzilla-2014/trailer,3189,Warner Bros. Pictures|Action|Adventure|Sci Fi|Remake|Aaron Taylor-Johnson|Ken Watanabe|Elizabeth Olsen|Juliette Binoche|Sally Hawkins|David Strathairn|Bryan Cranston,2 min 7 sec,"676,980",10-Dec-13,Gareth Edwards,Max Borenstein,Warner Bros Pictures,16-May-14,Aaron Taylor-Johnson;Ken Watanabe;Elizabeth Olsen;Juliette Binoche;David Strathairn,Aluminum,The Hit House,,,,,,,,,,
3197,/x-men-days-future-past/feature-trailer,3197,20th Century Fox|Action|Adventure|Comicbook|Franchise/Epic/Trilogy|Fantasy|Jennifer Lawrence|Nicholas Hoult|Hugh Jackman|Anna Paquin|Ellen Page|Peter Dinklage|Michael Fassbender|Halle Berry|James McAvoy|Ian McKellen|Patrick Stewart,2 min 29 sec,"690,909",15-Apr-14,Bryan Singer,Simon Kinberg,20th Century Fox,23-May-14,Hugh Jackman;Ian McKellen;Patrick Stewart;James McAvoy;Jennifer Lawrence,Kashmir,Led Zeppelin,,,,,,,,,,
3203,/edge-of-tomorrow/feature-trailer,3203,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt,2 min 26 sec,"467,944",25-Mar-14,Doug Liman,Hiroshi Sakurazaka,Warner Bros Pictures,6-Jun-14,Tom Cruise;Emily Blunt;Bill Paxton;Kick Gurry;Dragomir Mrsic,This is Not the End,Fieldwork,,,,,,,,,,
