href,enum,date,link,title,getme,,release date,release_added_diff,
/cool-world,0,28-May-13,/cool-world/trailer,Trailer,x,2,7/10/1992,-7627,
/cool-world,1,28-May-13,/cool-world/teaser-trailer,Teaser Trailer,x,2,7/10/1992,-7627,
/buffy-the-vampire-slayer-1992,0,12-Sep-16,/buffy-the-vampire-slayer-1992/trailer,Trailer,x,1,7/31/1992,-8809,
/death-becomes-her,0,27-Nov-17,/death-becomes-her/trailer,Trailer,x,1,7/31/1992,-9250,
/raising-cain,0,6-Mar-13,/raising-cain/trailer,Trailer,x,1,8/7/1992,-7516,
/unforgiven,0,18-Mar-13,/unforgiven/feature-trailer,Feature Trailer,x,2,8/7/1992,-7528,
/unforgiven,1,25-Oct-07,/unforgiven/trailer,Trailer,x,2,8/7/1992,-5557,
/honeymoon-in-vegas,0,13-Apr-12,/honeymoon-in-vegas/trailer,Trailer,x,1,8/28/1992,-7168,
/out-on-a-limb,0,6-May-14,/out-on-a-limb/trailer,Trailer,x,1,9/4/1992,-7914,
/sneakers,0,25-Mar-13,/sneakers/trailer,Trailer,x,1,9/11/1992,-7500,
/last-of-mohicans,0,5-Sep-07,/last-of-mohicans/trailer,Trailer,x,1,9/25/1992,-5458,
/the-mighty-ducks,0,12-Apr-13,/the-mighty-ducks/trailer,Trailer,x,1,10/2/1992,-7497,
/candyman,0,18-Sep-09,/candyman/trailer,Trailer,x,1,10/16/1992,-6181,
/a-river-runs-through-it,0,23-Jun-09,/a-river-runs-through-it/trailer,Trailer,x,1,10/30/1992,-6080,
/bram-stokers-dracula,0,29-Sep-15,/bram-stokers-dracula/teaser-trailer,Teaser Trailer,x,2,11/13/1992,-8355,
/bram-stokers-dracula,1,15-Oct-07,/bram-stokers-dracula/trailer,Trailer,x,2,11/13/1992,-5449,
/malcolm-x,0,2-Jul-13,/malcolm-x/trailer,Trailer,x,1,11/18/1992,-7531,
/home-alone-2,0,17-Oct-07,/home-alone-2/trailer,Trailer,x,1,11/20/1992,-5444,
/aladdin,0,21-Sep-15,/aladdin/blu-ray-trailer,Blu-Ray Trailer,0,0,11/25/1992,-8335,x
/aladdin,1,8-Feb-15,/aladdin/diamond-edition-trailer,Diamond Edition Trailer,0,0,11/25/1992,-8110,
/aladdin,2,8-Feb-15,/aladdin/platinum-edition-trailer,Platinum Edition Trailer,0,0,11/25/1992,-8110,
/the-bodyguard,0,13-Jan-14,/the-bodyguard/trailer,Trailer,x,1,11/25/1992,-7719,
/few-good-men,0,30-Jan-14,/few-good-men/feature-trailer,Feature Trailer,x,2,12/11/1992,-7720,
/few-good-men,1,15-Oct-07,/few-good-men/trailer,Trailer,x,2,12/11/1992,-5421,
/trespass-1992,0,5-Sep-12,/trespass-1992/trailer,Trailer,x,1,12/25/1992,-7194,
/leprechaun,0,18-Oct-07,/leprechaun/trailer,Trailer,x,1,1/8/1993,-5396,
/lorenzos-oil,0,2-Jul-13,/lorenzos-oil/trailer,Trailer,x,1,1/29/1993,-7459,
/army-of-darkness,0,10-Oct-07,/army-of-darkness/trailer,Trailer,x,1,2/19/1993,-5346,
/the-crying-game,0,21-May-14,/the-crying-game/trailer,Trailer,x,1,2/19/1993,-7761,
/falling-down,0,15-Oct-07,/falling-down/trailer,Trailer,x,1,2/26/1993,-5344,
/howards-end,0,7-Dec-16,/howards-end/feature-trailer,Feature Trailer,x,2,2/26/1993,-8685,
/howards-end,1,9-Jun-13,/howards-end/trailer,Trailer,x,2,2/26/1993,-7408,
/cb4,0,28-Feb-13,/cb4/trailer,Trailer,x,1,3/12/1993,-7293,
/indecent-proposal,0,9-Jun-13,/indecent-proposal/trailer,Trailer,x,1,4/7/1993,-7368,
/the-sandlot,0,29-Dec-12,/the-sandlot/trailer,Trailer,x,1,4/7/1993,-7206,
