title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
Tinker Tailor Soldier Spy,tt1340800,2012,http://www.imdb.com/title/tt1340800/,1/6/2012,USA,30,/tinker-tailor-soldier-spy,"Tinker, Tailor, Soldier, Spy",11/18/2011,Tomas Alfredson,"John le Carré, Peter Straughan","Gary Oldman,  Ciaran Hinds,  Jared Harris",42
Contraband,tt1524137,2012,http://www.imdb.com/title/tt1524137/,1/13/2012,USA,1,/contraband,Contraband,1/13/2012,Baltasar Kormákur,Aaron Guzikowski,"Mark Wahlberg,  Kate Beckinsale,  Ben Foster",34
Joyful Noise,tt1710396,2012,http://www.imdb.com/title/tt1710396/,1/13/2012,USA,13,/joyful-noise,Joyful Noise,1/13/2012,Todd Graff,Todd Graff,"Queen Latifah,  Dolly Parton,  Keke Palmer",52
The Iron Lady,tt1007029,2012,http://www.imdb.com/title/tt1007029/,1/13/2012,USA,31,/the-iron-lady,The Iron Lady,12/16/2011,Phyllida Lloyd,Abi Morgan,"Meryl Streep,  Jim Broadbent,  Alexandra Roach",60
Extremely Loud & Incredibly Close,tt0477302,2012,http://www.imdb.com/title/tt0477302/,1/20/2012,USA,17,/extremely-loud-incredibly-close,Extremely Loud & Incredibly Close,12/25/2011,Stephen Daldry,Eric Roth,"Tom Hanks,  Sandra Bullock,  Thomas Horn",57
Haywire,tt1506999,2012,http://www.imdb.com/title/tt1506999/,1/20/2012,USA,1,/haywire,Haywire,1/20/2012,Steven Soderbergh,Lem Dobbs,"Gina Carano,  Channing Tatum,  Ewan McGregor",51
Red Tails,tt0485985,2012,http://www.imdb.com/title/tt0485985/,1/20/2012,USA,31,/red-tails,Red Tails,1/20/2012,Anthony Hemingway,"John Ridley, George Lucas","Cuba Gooding Jr.,  Terrence Howard,  Bryan Cranston",44
The Artist,tt1655442,2012,http://www.imdb.com/title/tt1655442/,1/20/2012,USA,16,/the-artist,The Artist,5/11/2011,Michel Hazanavicius,Michel Hazanavicius,"John Goodman,  Missi Pyle,  Penelope Ann Miller",85
Underworld: Awakening,tt1496025,2012,http://www.imdb.com/title/tt1496025/,1/20/2012,USA,15,/underworld-awakening,Underworld: Awakening,1/20/2012,"Måns Mårlind, Björn Stein","Len Wiseman, John Hlavin, Allison Burnett, J. Michael Straczynski","Kate Beckinsale,  Stephen Rea,  Michael Ealy",35
Man on a Ledge,tt1568338,2012,http://www.imdb.com/title/tt1568338/,1/27/2012,USA,31,/man-on-a-ledge,Man on a Ledge,1/13/2012,Asger Leth,"Pablo Fenjves, Erich Hoeber, Jon Hoeber","Sam Worthington,  Elizabeth Banks,  Jamie Bell",40
One for the Money,tt1598828,2012,http://www.imdb.com/title/tt1598828/,1/27/2012,USA,31,/one-for-the-money,One For the Money,1/27/2012,Julie Anne Robinson,"Janet Evanovich, Liz Brixius, Karen Ray, Stacy Sherman, Kirsten Smith, Karen McCullah Lutz","Katherine Heigl,  Jason O'Mara,  Daniel Sunjata",6
The Grey,tt1601913,2012,http://www.imdb.com/title/tt1601913/,1/27/2012,USA,12,/the-grey,The Grey,1/27/2012,Joe Carnahan,"Joe Carnahan, Ian Mackenzie Jeffers","Liam Neeson,  Frank Grillo,  Dermot Mulroney",25
Big Miracle,tt1430615,2012,http://www.imdb.com/title/tt1430615/,2/3/2012,USA,31,/big-miracle,Big Miracle,2/3/2012,Ken Kwapis,"Jack Amiel, Michael Begler","John Krasinski,  Drew Barrymore,  Kristen Bell",44
Chronicle,tt1706593,2012,http://www.imdb.com/title/tt1706593/,2/3/2012,USA,5,/chronicle,Chronicle,2/3/2012,Josh Trank,"Max Landis, Josh Trank","Dane DeHaan,  Michael B. Jordan,  Alex Russell",16
The Woman in Black,tt1596365,2012,http://www.imdb.com/title/tt1596365/,2/3/2012,USA,31,/the-woman-in-black,The Woman in Black,2/10/2012,James Watkins,"Susan Hill, Jane Goldman","Daniel Radcliffe,  Ciaran Hinds,  Janet McTeer",46
Journey 2: The Mysterious Island,tt1397514,2012,http://www.imdb.com/title/tt1397514/,2/10/2012,USA,31,/journey-2-mysterious-island,Journey 2: The Mysterious Island,2/10/2012,Brad Peyton,"Richard Outten, Mark Gunn, Brian Gunn","Dwayne Johnson,  Michael Caine,  Josh Hutcherson",53
Safe House,tt1599348,2012,http://www.imdb.com/title/tt1599348/,2/10/2012,USA,31,/safe-house,Safe House,2/10/2012,Daniel Espinosa,"David Guggenheim, Terry George, John Lee Hancock","Denzel Washington,  Ryan Reynolds,  Brendan Gleeson",57
The Vow,tt1606389,2012,http://www.imdb.com/title/tt1606389/,2/10/2012,USA,1,/the-vow,The Vow,2/10/2012,Michael Sucsy,"Michael Sucsy, Abby Kohn, Marc Silverstein","Rachel McAdams,  Channing Tatum,  Scott Speedman",19
The Secret World of Arrietty,tt1568921,2012,http://www.imdb.com/title/tt1568921/,2/17/2012,USA,31,/arrietty,The Secret World of Arrietty,7/29/2011,Hiromasa Yonebayashi,Hayao Miyazaki,"Saoirse Ronan,  Mark Strong,  Olivia Colman",22
Ghost Rider: Spirit of Vengeance,tt1071875,2012,http://www.imdb.com/title/tt1071875/,2/17/2012,USA,31,/ghost-rider-spirit-of-vengeance,Ghost Rider: Spirit of Vengeance,2/17/2012,"Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Nicolas Cage,  Ciaran Hinds,  Violante Placido",33
This Means War,tt1596350,2012,http://www.imdb.com/title/tt1596350/,2/17/2012,USA,31,/this-means-war,This Means War,2/14/2012,McG,"Timothy Dowling, Simon Kinberg","Reese Witherspoon,  Chris Pine,  Tom Hardy",21
Act of Valor,tt1591479,2012,http://www.imdb.com/title/tt1591479/,2/24/2012,USA,31,/act-of-valor,Act of Valor,2/24/2012,"Mike McCoy, Scott Waugh",Kurt Johnstad,"Roselyn Sanchez,  Alex Veadov,  Jason Cottle",66
Gone,tt1838544,2012,http://www.imdb.com/title/tt1838544/,2/24/2012,USA,27,/gone,Gone,2/24/2012,Heitor Dhalia,Allison Burnett,"Amanda Seyfried,  Emily Wickersham,  Wes Bentley",27
Good Deeds,tt1885265,2012,http://www.imdb.com/title/tt1885265/,2/24/2012,USA,31,/tyler-perrys-good-deeds,Good Deeds,2/24/2012,Tyler Perry,Tyler Perry,"Tyler Perry,  Thandie Newton,  Brian White",18
Wanderlust,tt1655460,2012,http://www.imdb.com/title/tt1655460/,2/24/2012,USA,1,/wanderlust,Wanderlust,2/24/2012,David Wain,"David Wain, Ken Marino","Paul Rudd,  Jennifer Aniston,  Justin Theroux",62
Project X,tt1636826,2012,http://www.imdb.com/title/tt1636826/,3/2/2012,USA,32,/project-x,Project X,3/2/2012,Nima Nourizadeh,"Matt Drake, Michael Bacall","Miles Teller,  Oliver Cooper,  Jonathan Daniel Brown",52
The Lorax,tt1482459,2012,http://www.imdb.com/title/tt1482459/,3/2/2012,USA,1,/the-lorax,Dr. Seuss' The Lorax,3/2/2012,"Chris Renaud, Kyle Balda","Cinco Paul, Ken Daurio","Danny DeVito,  Zac Efron,  Ed Helms",68
A Thousand Words,tt0763831,2012,http://www.imdb.com/title/tt0763831/,3/9/2012,USA,31,/a-thousand-words,A Thousand Words,3/23/2012,Brian Robbins,Steven Koren,"Eddie Murphy,  Clark Duke,  Kerry Washington",16
John Carter,tt0401729,2012,http://www.imdb.com/title/tt0401729/,3/9/2012,USA,31,/john-carter,John Carter,3/9/2012,Andrew Stanton,"Andrew Stanton, Mark Andrews","Taylor Kitsch,  Lynn Collins,  Samantha Morton",87
Silent House,tt1767382,2012,http://www.imdb.com/title/tt1767382/,3/9/2012,USA,31,/silent-house,Silent House,1/21/2011,"Chris Kentis, Laura Lau","Gustavo Hernández, Laura Lau","Elizabeth Olsen,  Adam Trese,  Eric Sheffer Stevens",10
21 Jump Street,tt1232829,2012,http://www.imdb.com/title/tt1232829/,3/16/2012,USA,31,/21-jump-street,21 Jump Street,3/16/2012,"Phil Lord, Christopher Miller",Michael Bacall,"Jonah Hill,  Channing Tatum,  Ice Cube",60
Friends with Kids,tt1720616,2012,http://www.imdb.com/title/tt1720616/,3/16/2012,USA,31,/friends-with-kids,Friends with Kids,3/9/2012,Jennifer Westfeldt,Jennifer Westfeldt,"Adam Scott,  Jennifer Westfeldt,  Jon Hamm",19
The Hunger Games,tt1392170,2012,http://www.imdb.com/title/tt1392170/,3/23/2012,USA,31,/the-hunger-games,The Hunger Games,3/23/2012,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence,  Josh Hutcherson,  Liam Hemsworth",85
Mirror Mirror,tt1667353,2012,http://www.imdb.com/title/tt1667353/,3/30/2012,USA,7,/mirror-mirror,Mirror Mirror,3/16/2012,Tarsem Singh,"Melisa Wallack, Jason Keller","Lily Collins,  Julia Roberts,  Armie Hammer",53
Wrath of the Titans,tt1646987,2012,http://www.imdb.com/title/tt1646987/,3/30/2012,USA,31,/wrath-of-the-titans,Wrath of the Titans,3/30/2012,Jonathan Liebesman,"Dan Mazeau, David Leslie Johnson, Steven Knight","Sam Worthington,  Ralph Fiennes,  Liam Neeson",67
American Reunion,tt1605630,2012,http://www.imdb.com/title/tt1605630/,4/6/2012,USA,31,/american-reunion,American Reunion,4/6/2012,"Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg","Jason Biggs,  Alyson Hannigan,  Chris Klein",83
L!fe Happens,tt1726589,2012,http://www.imdb.com/title/tt1726589/,4/13/2012,USA,7,/life-happens,L!fe Happens,7/3/1905,Kat Coiro,"Kat Coiro, Krysten Ritter","Krysten Ritter,  Kate Bosworth,  Rachel Bilson",1
Lockout,tt1592525,2012,http://www.imdb.com/title/tt1592525/,4/13/2012,USA,1,/lockout,Lockout,4/20/2012,"James Mather, Stephen St. Leger","James Mather, Stephen St. Leger","Guy Pearce,  Maggie Grace,  Peter Stormare",8
The Cabin in the Woods,tt1259521,2012,http://www.imdb.com/title/tt1259521/,4/13/2012,USA,31,/the-cabin-in-the-woods,The Cabin in the Woods,4/13/2012,Drew Goddard,"Joss Whedon, Drew Goddard","Kristen Connolly,  Chris Hemsworth,  Anna Hutchison",42
The Three Stooges,tt0383010,2012,http://www.imdb.com/title/tt0383010/,4/13/2012,USA,31,/the-three-stooges,The Three Stooges,4/13/2012,"Bobby Farrelly, Peter Farrelly","Bobby Farrelly, Peter Farrelly, Mike Cerrone","Chris Diamantopoulos,  Will Sasso,  Sean Hayes",19
The Lucky One,tt1327194,2012,http://www.imdb.com/title/tt1327194/,4/20/2012,USA,31,/the-lucky-one,The Lucky One,4/20/2012,Scott Hicks,Will Fetters,"Zac Efron,  Taylor Schilling,  Blythe Danner",53
Think Like a Man,tt1621045,2012,http://www.imdb.com/title/tt1621045/,4/20/2012,USA,31,/think-like-a-man,Think Like a Man,4/20/2012,Tim Story,"Keith Merryman, David A. Newman","Michael Ealy,  Jerry Ferrara,  Meagan Good",32
Safe,tt1656190,2012,http://www.imdb.com/title/tt1656190/,4/27/2012,USA,6,/safe,Safe,3/2/2012,Boaz Yakin,Boaz Yakin,"Jason Statham,  Catherine Chan,  James Hong",26
The Five-Year Engagement,tt1195478,2012,http://www.imdb.com/title/tt1195478/,4/27/2012,USA,30,/the-five-year-engagement,The Five-Year Engagement,4/27/2012,Nicholas Stoller,"Nicholas Stoller, Jason Segel","Jason Segel,  Emily Blunt,  Chris Pratt",38
The Pirates! Band of Misfits,tt1430626,2012,http://www.imdb.com/title/tt1430626/,4/27/2012,USA,31,/the-pirates-band-of-misfits,The Pirates! Band of Misfits,3/30/2012,"Peter Lord, Jeff Newitt",Gideon Defoe,"Hugh Grant,  Martin Freeman,  David Tennant",53
The Raven,tt1486192,2012,http://www.imdb.com/title/tt1486192/,4/27/2012,USA,1,/the-raven,The Raven,3/9/2012,James McTeigue,"Ben Livingston, Hannah Shakespeare","John Cusack,  Luke Evans,  Alice Eve",25
The Avengers,tt0848228,2012,http://www.imdb.com/title/tt0848228/,5/4/2012,USA,4,/the-avengers,The Avengers,5/4/2012,Joss Whedon,"Zak Penn, Joss Whedon","Robert Downey Jr.,  Chris Evans,  Chris Hemsworth",197
Dark Shadows,tt1077368,2012,http://www.imdb.com/title/tt1077368/,5/11/2012,USA,31,/dark-shadows,Dark Shadows,5/11/2012,Tim Burton,Seth Grahame-Smith,"Johnny Depp,  Michelle Pfeiffer,  Helena Bonham Carter",57
The Dictator,tt1645170,2012,http://www.imdb.com/title/tt1645170/,5/16/2012,USA,3,/the-dictator,The Dictator,5/11/2012,Larry Charles,"Sacha Baron Cohen, Alec Berg, Jeff Schaffer, David Mandel","Sacha Baron Cohen,  Anna Faris,  Ben Kingsley",39
Battleship,tt1440129,2012,http://www.imdb.com/title/tt1440129/,5/18/2012,USA,2,/battleship,Battleship,5/18/2012,Peter Berg,"Jon Hoeber, Erich Hoeber","Taylor Kitsch,  Alexander Skarsgard,  Brooklyn Decker",122
Crooked Arrows,tt1954352,2012,http://www.imdb.com/title/tt1954352/,5/18/2012,USA,10,/crooked-arrows,Crooked Arrows,3/10/2012,Steve Rash,"Todd Baird, Brad Riddell","Brandon Routh,  Gil Birmingham,  Crystal Allen",6
What to Expect When You're Expecting,tt1586265,2012,http://www.imdb.com/title/tt1586265/,5/18/2012,USA,30,/what-to-expect-when-youre-expecting,What to Expect When You're Expecting,5/11/2012,Kirk Jones,"Heather Hach, Shauna Cross","Cameron Diaz,  Jennifer Lopez,  Elizabeth Banks",82
Chernobyl Diaries,tt1991245,2012,http://www.imdb.com/title/tt1991245/,5/25/2012,USA,17,/chernobyl-diaries,Chernobyl Diaries,5/25/2012,Bradley Parker,"Shane Van Dyke, Carey Van Dyke, Oren Peli","Jonathan Sadowski,  Devin Kelley,  Jesse McCartney",24
Men in Black 3,tt1409024,2012,http://www.imdb.com/title/tt1409024/,5/25/2012,USA,30,/men-in-black-iii,Men in Black III,5/25/2012,Barry Sonnenfeld,Etan Cohen,"Will Smith,  Josh Brolin,  Tommy Lee Jones",93
The Best Exotic Marigold Hotel,tt1412386,2012,http://www.imdb.com/title/tt1412386/,5/25/2012,USA,31,/the-best-exotic-marigold-hotel,The Best Exotic Marigold Hotel,3/9/2012,John Madden,"Ol Parker, Deborah Moggach","Tom Wilkinson,  Judi Dench,  Dev Patel",47
Snow White and the Huntsman,tt1735898,2012,http://www.imdb.com/title/tt1735898/,6/1/2012,USA,31,/snow-white-and-the-huntsman,Snow White and the Huntsman,6/1/2012,Rupert Sanders,Evan Daugherty,"Kristen Stewart,  Charlize Theron,  Chris Hemsworth",110
Madagascar 3: Europe's Most Wanted,tt1277953,2012,http://www.imdb.com/title/tt1277953/,6/8/2012,USA,30,/madagascar-3,Madagascar 3: Europe's Most Wanted,6/8/2012,Eric Darnell,Noah Baumbach,"Ben Stiller,  Chris Rock,  David Schwimmer",81
Prometheus,tt1446714,2012,http://www.imdb.com/title/tt1446714/,6/8/2012,USA,1,/prometheus,Prometheus,6/8/2012,Ridley Scott,"Damon Lindelof, Jon Spaihts, Ridley Scott","Noomi Rapace,  Michael Fassbender,  Charlize Theron",87
Rock of Ages,tt1336608,2012,http://www.imdb.com/title/tt1336608/,6/15/2012,USA,31,/rock-of-ages,Rock of Ages,6/1/2012,Adam Shankman,Chris D'Arienzo,"Anne Hathaway,  Tom Cruise,  Russell Brand",51
That's My Boy,tt1232200,2012,http://www.imdb.com/title/tt1232200/,6/15/2012,USA,30,/thats-my-boy,That's My Boy,6/15/2012,"Sean Anders, John Morris",David H. Caspe,"Adam Sandler,  Andy Samberg,  Leighton Meester",51
Abraham Lincoln: Vampire Hunter,tt1611224,2012,http://www.imdb.com/title/tt1611224/,6/22/2012,USA,31,/abraham-lincoln-vampire-hunter,Abraham Lincoln: Vampire Hunter,6/22/2012,Timur Bekmambetov,"Seth Grahame-Smith, Simon Kinberg","Benjamin Walker,  Dominic Cooper,  Anthony Mackie",64
Brave,tt1217209,2012,http://www.imdb.com/title/tt1217209/,6/22/2012,USA,10,/brave,Brave,6/22/2012,Mark Andrews,"Brenda Chapman, Irene Mecchi","Kelly Macdonald,  Billy Connolly,  Emma Thompson",79
Seeking a Friend for the End of the World,tt1307068,2012,http://www.imdb.com/title/tt1307068/,6/22/2012,USA,31,/seeking-friend-end-of-world,Seeking a Friend for the End of the World,6/22/2012,Lorene Scafaria,Lorene Scafaria,"Steve Carell,  Keira Knightley,  Connie Britton",23
Madea's Witness Protection,tt2215285,2012,http://www.imdb.com/title/tt2215285/,6/29/2012,USA,24,/madeas-witness-protection,Madea's Witness Protection,6/29/2012,Tyler Perry,Tyler Perry,"Tyler Perry,  Eugene Levy,  Doris Roberts",19
Magic Mike,tt1915581,2012,http://www.imdb.com/title/tt1915581/,6/29/2012,USA,31,/magic-mike,Magic Mike,6/29/2012,Steven Soderbergh,Reid Carolin,"Channing Tatum,  Alex Pettyfer,  Matthew McConaughey",46
Moonrise Kingdom,tt1748122,2012,http://www.imdb.com/title/tt1748122/,6/29/2012,USA,24,/moonrise-kingdom,Moonrise Kingdom,5/25/2012,Wes Anderson,"Wes Anderson, Roman Coppola","Bruce Willis,  Edward Norton,  Bill Murray",62
People Like Us,tt1716777,2012,http://www.imdb.com/title/tt1716777/,6/29/2012,USA,31,/people-like-us,People Like Us,6/29/2012,Alex Kurtzman,"Alex Kurtzman, Roberto Orci, Jody Lambert","Elizabeth Banks,  Chris Pine,  Michelle Pfeiffer",35
Ted,tt1637725,2012,http://www.imdb.com/title/tt1637725/,6/29/2012,USA,6,/ted,Ted,7/13/2012,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin","Mark Wahlberg,  Mila Kunis,  Giovanni Ribisi",81
The Amazing Spider-Man,tt0948470,2012,http://www.imdb.com/title/tt0948470/,7/3/2012,USA,30,/spider-man-2012,The Amazing Spider-Man,7/3/2012,Marc Webb,James Vanderbilt,"Andrew Garfield,  Emma Stone,  Rhys Ifans",159
Savages,tt1615065,2012,http://www.imdb.com/title/tt1615065/,7/6/2012,USA,3,/savages,Savages,7/6/2012,Oliver Stone,"Shane Salerno, Don Winslow, Oliver Stone","Taylor Kitsch,  Blake Lively,  Aaron Johnson",104
To Rome with Love,tt1859650,2012,http://www.imdb.com/title/tt1859650/,7/6/2012,USA,31,/to-rome-with-love,To Rome with Love,3/19/2012,Woody Allen,Woody Allen,"Woody Allen,  Alec Baldwin,  Roberto Benigni",3
Ice Age: Continental Drift,tt1667889,2012,http://www.imdb.com/title/tt1667889/,7/13/2012,USA,31,/ice-age-continental-drift,Ice Age: Continental Drift,7/13/2012,"Steve Martino, Mike Thurmeier","Michael Berg, Jason Fuchs, Mike Reiss","Ray Romano,  Queen Latifah,  John Leguizamo",49
The Dark Knight Rises,tt1345836,2012,http://www.imdb.com/title/tt1345836/,7/20/2012,USA,31,/the-dark-knight-rises,The Dark Knight Rises,7/20/2012,Christopher Nolan,"David Goyer, Jonathan Nolan","Christian Bale,  Michael Caine,  Gary Oldman",124
The Watch,tt1298649,2012,http://www.imdb.com/title/tt1298649/,7/27/2012,USA,9,/neighborhood-watch,The Watch,7/27/2012,Akiva Schaffer,"Seth Rogen, Evan Goldberg, Jared Stern","Ben Stiller,  Vince Vaughn,  Rosemarie DeWitt",29
Step Up Revolution,tt1800741,2012,http://www.imdb.com/title/tt1800741/,7/27/2012,USA,31,/step-up-4,Step Up Revolution,7/27/2012,Scott Speer,Jenny Mayer,"Kathryn McCormick,  Ryan Guzman,  Stephen Boss",49
Diary of a Wimpy Kid: Dog Days,tt2023453,2012,http://www.imdb.com/title/tt2023453/,8/3/2012,USA,31,/diary-of-a-wimpy-dog-days,Diary of a Wimpy Kid: Dog Days,8/3/2012,David Bowers,"Maya Forbes, Jeff Kinney, Gabe Sachs, Wallace Wolodarsky","Zachary Gordon,  Robert Capron,  Peyton List",18
Total Recall,tt1386703,2012,http://www.imdb.com/title/tt1386703/,8/3/2012,USA,8,/total-recall-2012,Total Recall,8/3/2012,Len Wiseman,"Kurt Wimmer, Mark Bomback, James Vanderbilt","Colin Farrell,  Bryan Cranston,  Bill Nighy",74
Hope Springs,tt1535438,2012,http://www.imdb.com/title/tt1535438/,8/8/2012,USA,31,/hope-springs,Hope Springs,8/10/2012,David Frankel,Vanessa Taylor,"Meryl Streep,  Tommy Lee Jones,  Steve Carell",30
The Bourne Legacy,tt1194173,2012,http://www.imdb.com/title/tt1194173/,8/10/2012,USA,29,/the-bourne-legacy,The Bourne Legacy,8/3/2012,Tony Gilroy,"Tony Gilroy, Dan Gilroy","Jeremy Renner,  Rachel Weisz,  Edward Norton",55
The Campaign,tt1790886,2012,http://www.imdb.com/title/tt1790886/,8/10/2012,USA,4,/the-campaign,The Campaign,8/10/2012,Jay Roach,"Chris Henchy, Shawn Harwell","Will Ferrell,  Zach Galifianakis,  Jason Sudeikis",61
The Odd Life of Timothy Green,tt1462769,2012,http://www.imdb.com/title/tt1462769/,8/15/2012,USA,31,/the-odd-life-of-timothy-green,The Odd Life of Timothy Green,8/15/2012,Peter Hedges,"Peter Hedges, Ahmet Zappa","Jennifer Garner,  Joel Edgerton,  CJ Adams",69
ParaNorman,tt1623288,2012,http://www.imdb.com/title/tt1623288/,8/17/2012,USA,1,/paranorman,ParaNorman,8/17/2012,"Sam Fell, Chris Butler",Chris Butler,"Kodi Smit-McPhee,  Casey Affleck,  Tempestt Bledsoe",82
Sparkle,tt1876451,2012,http://www.imdb.com/title/tt1876451/,8/17/2012,USA,2,/sparkle-2012,Sparkle,8/17/2012,Salim Akil,"Mara Brock Akil, Howard Rosenman","Jordin Sparks,  Whitney Houston,  Derek Luke",28
Hit and Run,tt2097307,2012,http://www.imdb.com/title/tt2097307/,8/22/2012,USA,32,/hit-and-run-2012,Hit and Run,8/24/2012,"Dax Shepard, David Palmer","Dax Shepard, David Palmer","Dax Shepard,  Kristen Bell,  Bradley Cooper",23
Premium Rush,tt1547234,2012,http://www.imdb.com/title/tt1547234/,8/24/2012,USA,10,/premium-rush,Premium Rush,1/13/2012,David Koepp,"David Koepp, John Kamps","Joseph Gordon-Levitt,  Michael Shannon,  Jamie Chung",41
The Apparition,tt1433822,2012,http://www.imdb.com/title/tt1433822/,8/24/2012,USA,4,/the-apparition,The Apparition,8/24/2012,Todd Lincoln,Todd Lincoln,"Ashley Greene,  Sebastian Stan,  Tom Felton",18
Lawless,tt1212450,2012,http://www.imdb.com/title/tt1212450/,8/29/2012,USA,1,/lawless,Lawless,8/31/2012,John Hillcoat,Nick Cave,"Shia LaBeouf,  Tom Hardy,  Jessica Chastain",60
The Possession,tt0431021,2012,http://www.imdb.com/title/tt0431021/,8/31/2012,USA,10,/the-possession,The Possession,8/31/2012,Ole Bornedal,"Juliet Snowden, Stiles White","Jeffrey Dean Morgan,  Kyra Sedgwick,  Grant Show",21
The Cold Light of Day,tt1366365,2012,http://www.imdb.com/title/tt1366365/,9/7/2012,USA,31,/the-cold-light-of-day,The Cold Light of Day,4/6/2012,Mabrouk El Mechri,"Scott Wiper, John Petro, Richard Price","Henry Cavill,  Bruce Willis,  Sigourney Weaver",12
The Words,tt1840417,2012,http://www.imdb.com/title/tt1840417/,9/7/2012,USA,26,/the-words,The Words,9/7/2012,"Brian Klugman, Lee Sternthal","Brian Klugman, Lee Sternthal","Bradley Cooper,  Jeremy Irons,  Zoe Saldana",43
Arbitrage,tt1764183,2012,http://www.imdb.com/title/tt1764183/,9/14/2012,USA,1,/arbitrage,Arbitrage,9/14/2012,Nicholas Jarecki,Nicholas Jarecki,"Richard Gere,  Susan Sarandon,  Tim Roth",6
Last Ounce of Courage,tt2359137,2012,http://www.imdb.com/title/tt2359137/,9/14/2012,USA,31,/last-ounce-of-courage,Last Ounce Of Courage,9/14/2012,"Darrel Campbell, Kevin McAfee",Darrel Campbell,"Marshall R. Teague,  Jennifer O'Neill,  Fred Williamson",1
Resident Evil: Retribution,tt1855325,2012,http://www.imdb.com/title/tt1855325/,9/14/2012,USA,31,/resident-evil-retribution,Resident Evil: Retribution,9/14/2012,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich,  Michelle Rodriguez,  Sienna Guillory",63
End of Watch,tt1855199,2012,http://www.imdb.com/title/tt1855199/,9/21/2012,USA,31,/end-of-watch,End of Watch,9/28/2012,David Ayer,David Ayer,"Jake Gyllenhaal,  Michael Pena,  Anna Kendrick",32
House at the End of the Street,tt1582507,2012,http://www.imdb.com/title/tt1582507/,9/21/2012,USA,31,/house-at-the-end-of-the-street,House at the End of the Street,9/21/2012,Mark Tonderai,David Loucka,"Jennifer Lawrence,  Elisabeth Shue,  Max Thieriot",18
Dredd,tt1343727,2012,http://www.imdb.com/title/tt1343727/,9/21/2012,USA,2,/judge-dredd-2012,Dredd,9/21/2012,Pete Travis,Alex Garland,"Karl Urban,  Olivia Thirlby,  Langley Kirkwood",30
The Master,tt1560747,2012,http://www.imdb.com/title/tt1560747/,9/21/2012,USA,17,/the-master,The Master,10/12/2012,Paul Thomas Anderson,Paul Thomas Anderson,"Philip Seymour Hoffman,  Joaquin Phoenix,  Jesse Plemons",26
Trouble with the Curve,tt2083383,2012,http://www.imdb.com/title/tt2083383/,9/21/2012,USA,31,/trouble-with-the-curve,Trouble with the Curve,9/21/2012,Robert Lorenz,Randy Brown,"Clint Eastwood,  Amy Adams,  Justin Timberlake",31
Unconditional,tt1758610,2012,http://www.imdb.com/title/tt1758610/,9/21/2012,USA,2,/unconditional,Unconditional,1/20/2012,Bryn Higgins,Jo Fisher,"Christian Cooke,  Harry McEntire,  Madleine Clark",1
Hotel Transylvania,tt0837562,2012,http://www.imdb.com/title/tt0837562/,9/28/2012,USA,29,/hotel-transylvania,Hotel Transylvania,9/28/2012,Genndy Tartakovsky,Don Rhymer,"Adam Sandler,  Selena Gomez,  Andy Samberg",99
Looper,tt1276104,2012,http://www.imdb.com/title/tt1276104/,9/28/2012,USA,1,/looper,Looper,9/28/2012,Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt,  Bruce Willis,  Emily Blunt",65
Won't Back Down,tt1870529,2012,http://www.imdb.com/title/tt1870529/,9/28/2012,USA,30,/wont-back-down,Won't Back Down,9/28/2012,Daniel Barnz,"Brin Hill, Daniel Barnz","Maggie Gyllenhaal,  Viola Davis,  Oscar Isaac",27
Frankenweenie,tt1142977,2012,http://www.imdb.com/title/tt1142977/,10/5/2012,USA,1,/frankenweenie,Frankenweenie,10/15/2012,Tim Burton,Tim Burton,"Winona Ryder,  Martin Short,  Catherine O'Hara",99
Pitch Perfect,tt1981677,2012,http://www.imdb.com/title/tt1981677/,10/5/2012,USA,31,/pitch-perfect,Pitch Perfect,10/5/2012,Jason Moore,"Kay Cannon, Jeff Roda","Anna Kendrick,  Brittany Snow,  Anna Camp",61
Taken 2,tt1397280,2012,http://www.imdb.com/title/tt1397280/,10/5/2012,USA,10,/taken-2,Taken 2,10/5/2012,Olivier Megaton,"Luc Besson, Robert Mark Kamen","Liam Neeson,  Maggie Grace,  Famke Janssen",31
Argo,tt1024648,2012,http://www.imdb.com/title/tt1024648/,10/12/2012,USA,1,/argo,Argo,10/12/2012,Ben Affleck,Chris Terrio,"Ben Affleck,  Alan Arkin,  Bryan Cranston",94
Atlas Shrugged II: The Strike,tt1985017,2012,http://www.imdb.com/title/tt1985017/,10/12/2012,USA,30,/atlas-shrugged-part-2,Atlas Shrugged: Part 2,41194,John Putch,"Duke Sandefur, Brian Patrick O'Toole, Duncan Scott, Ayn Rand","Samantha Mathis,  Jason Beghe,  Esai Morales",3
Here Comes the Boom,tt1648179,2012,http://www.imdb.com/title/tt1648179/,10/12/2012,USA,31,/here-comes-the-boom,Here Comes the Boom,10/12/2012,Frank Coraci,"Allan Loeb, Kevin James","Kevin James,  Salma Hayek,  Henry Winkler",32
