imdb_id,id,title,original_title,budget,revenue,genres,imdb_id,original_language,overview,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
tt0463854,1562,28 Weeks Later,28 Weeks Later,15000000,65048678,Horror|Thriller|Science Fiction,tt0463854,en,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",DNA Films|Figment Films|Sociedad General de Cine S.A.|UK Film Council|Fox Atomic|Koan Films,Spain|United Kingdom,2007-04-26,100.0,English,Released,When days turn to weeks... the horror returns.,32.526,6.6,2873,6,2,1
tt2172934,192102,3 Days to Kill,3 Days to Kill,28000000,52597999,Drama|Thriller,tt2172934,en,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",Wonderland Sound and Vision|EuropaCorp|Relativity Media|20th Century Fox,France|United States of America,2014-02-14,113.0,English,Released,,33.75,6.1,1597,4,2,1
tt0381849,5176,3:10 to Yuma,3:10 to Yuma,55000000,70016220,Western,tt0381849,en,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",Lionsgate|Tree Line Films|Relativity Media|Yuma,United States of America,2007-09-06,122.0,English,Released,Time waits for one man.,21.784,7.1,2430,4,1,1
tt0389722,4513,30 Days of Night,30 Days of Night,30000000,75505973,Horror|Thriller,tt0389722,en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",HorrorFlix|Columbia Pictures|Ghost House Pictures|Dark Horse Entertainment,New Zealand|United States of America,2007-10-17,113.0,English,Released,They're Coming!,28.231,6.3,1878,4,2,1
tt1622547,62206,30 Minutes or Less,30 Minutes or Less,28000000,40547440,Action|Adventure|Comedy,tt1622547,en,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",Columbia Pictures,United States of America|Germany|Canada,2011-08-11,83.0,English|Spanish|German,Released,A lot can happen in 30 minutes.,20.697,5.7,1181,1,3,3
tt1253863,53182,300: Rise of an Empire,300: Rise of an Empire,110000000,337580051,Action|Drama,tt1253863,en,"Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",Legendary Pictures|Hollywood Gang Productions|Atmosphere Entertainment MM|Nimar Studios|Warner Bros. Pictures|Cruel & Unusual Films,United States of America,2014-03-05,102.0,English,Released,Seize your glory!,31.269,6.1,4922,6,1,1
tt0243736,2752,40 Days and 40 Nights,40 Days and 40 Nights,17000000,0,Comedy|Romance,tt0243736,en,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",Miramax|Universal Pictures|Working Title Films|StudioCanal|Milo Productions,United States of America|France|United Kingdom,2002-03-01,94.0,English,Released,Easier said than done.,9.226,5.4,792,5,3,1
tt7329656,480105,47 Meters Down: Uncaged,47 Meters Down: Uncaged,12000000,0,Horror,tt7329656,en,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",The Fyzz,United States of America|United Kingdom,2019-08-15,90.0,English,Released,The Next Chapter,27.268,5.7,902,1,2,1
tt1335975,64686,47 Ronin,47 Ronin,175000000,150962475,Drama|Action|Adventure|Fantasy,tt1335975,en,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",Mid Atlantic Films|Stuber Productions|Moving Picture Company|H2F Entertainment|Universal Pictures|Relativity Media,United States of America,2013-12-06,119.0,English|Japanese,Released,For courage. For loyalty. For honor.,27.658,6.1,2674,6,1,2
tt2933544,286521,5 Flights Up,5 Flights Up,6000000,1020921,Drama,tt2933544,en,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,Revelations Entertainment|Lascaux Films|Latitude Productions,United States of America,2014-09-05,92.0,English,Released,A coming of age story,8.024,6.0,219,3,1,1
tt0343660,1824,50 First Dates,50 First Dates,75000000,196482882,Comedy|Romance,tt0343660,en,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",Columbia Pictures|Happy Madison Productions|Anonymous Content|Flower Films,United States of America,2004-02-13,99.0,English,Released,Imagine having to win over the girl of your dreams... every friggin' day.,39.727,6.8,5354,4,1,1
tt1777595,197583,50 to 1,50 to 1,10000000,1064454,Comedy|Drama,tt1777595,en,"A misfit group of New Mexico cowboys find themselves on the journey of a lifetime when they learn their crooked-footed racehorse qualifies to run in the Kentucky Derby. Based on the true story of Mine That Bird, the cowboys must overcome impossible odds even before they reach Churchill Downs and the land of Kentucky's blue bloods.",Ten Furlongs,United States of America,2014-03-21,110.0,English|French,Released,,10.445,6.6,34,1,1,2
tt1306980,40807,50/50,50/50,8000000,39187783,Comedy|Drama,tt1306980,en,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Summit Entertainment|Mandate Pictures|Point Grey Pictures,United States of America,2011-09-30,100.0,English,Released,It takes a pair to beat the odds,16.303,7.1,2762,3,1,1
tt1022603,19913,(500) Days of Summer,(500) Days of Summer,7500000,60722734,Comedy|Drama|Romance,tt1022603,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",Fox Searchlight Pictures|Watermark Pictures|Dune Entertainment III,United States of America,2009-07-17,95.0,English|French|Swedish,Released,This is not a love story. This is a story about love.,33.136,7.2,7264,3,1,3
tt5466186,433627,7 Days in Entebbe,7 Days in Entebbe,0,9196740,Thriller|Drama|Crime,tt5466186,en,"In 1976, four hijackers take over an Air France airplane en route from Tel Aviv to Paris and force it to land in Entebbe, Uganda. With 248 passengers on board, one of the most daring rescue missions ever is set in motion.",Participant Media|Working Title Films,United Kingdom|United States of America,2018-03-15,107.0,Arabic|English|French|Hebrew|German,Released,"248 passengers were held hostage. For seven days, the world was held captive.",11.247,5.8,284,2,2,5
tt0298203,65,8 Mile,8 Mile,41000000,242875078,Music|Drama,tt0298203,en,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",Mikona Productions GmbH & Co. KG|Imagine Entertainment,United States of America,2002-11-08,110.0,English,Released,Every Moment Is Another Chance,32.093,7.1,4973,2,1,1
tt0283832,1958,8 Women,8 femmes,8000000,0,Comedy|Thriller|Mystery,tt0283832,fr,"Eight women gather to celebrate Christmas in a snowbound cottage, only to find the family patriarch dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret.",France 2 Cinéma|Fidélité Productions|Le Studio Canal+|CNC|Gimages 5|Mars Films,France|Italy,2002-01-08,111.0,English|French,Released,Living in a house full of women can be murder,7.126,7.0,621,6,2,2
tt0411061,3489,88 Minutes,88 Minutes,30000000,32593385,Crime|Mystery|Thriller,tt0411061,en,"A college professor who moonlights as a forensic psychiatrist for the FBI, receives a death threat claiming he has only 88 minutes to live.",TriStar Pictures|Brightlight Pictures|Nu Image,United States of America,2007-02-14,108.0,English,Released,He has 88 minutes to solve a murder. His own.,15.98,5.8,746,3,1,1
tt3224458,501907,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,4000000,67760877,Drama,tt3224458,en,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",TriStar Pictures|Tencent Pictures|Big Beach,China|United States of America,2019-09-07,109.0,English,Released,Neighbor. Icon. Friend.,19.921,7.1,786,3,2,1
