tmdb_id,imdb_id,title,year,
6488,tt0099052,Arachnophobia,1990,
16351,tt0273435,Ararat,2002,
60599,tt1764183,Arbitrage,2012,
416153,tt4426464,Arctic Dogs,2019,
10172,tt0422774,Are We Done Yet?,2007,
11637,tt0368578,Are We There Yet?,2005,
68734,tt1024648,Argo,2012,
1073,tt0137363,Arlington Road,1999,
95,tt0120591,Armageddon,1998,
4597,tt0913354,Armored,2009,
766,tt0106308,Army of Darkness,1993,
10204,tt0327437,Around the World in 80 Days,2004,
9786,tt0364955,Art School Confidential,2006,
49012,tt1334512,Arthur,2011,
9992,tt0344854,Arthur and the Invisibles,2007,
51052,tt1430607,Arthur Christmas,2011,
25269,tt0101371,Article 99,1992,
256274,tt2870612,"As Above, So Below",2014,
35656,tt1294136,As Good As Dead,2010,
2898,tt0119822,As Good as It Gets,1997,
16370,tt0106315,Aspen Extreme,1993,
446101,tt6205872,Assassination Nation,2018,
9691,tt0112401,Assassins,1995,
8978,tt0398712,Assault on Precinct 13,2005,
16577,tt0375568,Astro Boy,2009,
15556,tt0132512,At First Sight,1999,
51515,tt0101373,At Play in the Fields of the Lord,1991,
13960,tt0466856,ATL,2006,
10865,tt0230011,Atlantis: The Lost Empire,2001,
56780,tt0480239,Atlas Shrugged: Part I,2011,
134371,tt1985017,Atlas Shrugged: Part II,2012,
4347,tt0783233,Atonement,2008,
5123,tt0426931,August Rush,2007,
152737,tt1322269,August: Osage County,2014,
818,tt0295178,Austin Powers in Goldmember,2002,
816,tt0118655,Austin Powers: International Man of Mystery,1997,
817,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,
6972,tt0455824,Australia,2008,
14112,tt0298744,Auto Focus,2002,
10641,tt0174480,Autumn in New York,2000,
2302,tt0099073,Avalon,1990,
19995,tt0499549,Avatar,2009,
99861,tt2395427,Avengers: Age of Ultron,2015,
299534,tt4154796,Avengers: Endgame,2019,
299536,tt4154756,Avengers: Infinity War,2018,
10051,tt0444112,Avenue Montaigne,2007,
395,tt0370263,AVP: Alien vs. Predator,2004,
13483,tt0211933,Awake,2007,
